#Warren, S. G., 1984: Optical constants of ice from ultraviolet to microwave,
#Applied Optics, 23, 1206-1225
#(with  updates given by  S. G. Warren in 1995).
#
#Wave(microns)	Real part 	Imaginary part	     
5.20759E-01	1.31212E+00	2.28030E-09
5.30803E-01	1.31172E+00	2.56955E-09
5.41040E-01	1.31132E+00	2.94838E-09
5.51475E-01	1.31094E+00	3.13612E-09
5.62111E-01	1.31057E+00	3.33761E-09
5.72953E-01	1.31021E+00	3.66707E-09
5.84003E-01	1.30987E+00	4.35903E-09
5.95266E-01	1.30952E+00	5.31240E-09
6.06747E-01	1.30918E+00	6.49113E-09
6.18449E-01	1.30886E+00	8.29497E-09
6.30377E-01	1.30854E+00	1.04633E-08
6.42535E-01	1.30823E+00	1.27042E-08
6.54928E-01	1.30792E+00	1.53949E-08
6.67559E-01	1.30762E+00	1.83140E-08
6.80434E-01	1.30732E+00	2.10267E-08
6.93557E-01	1.30702E+00	2.56793E-08
7.06934E-01	1.30673E+00	3.26536E-08
7.20568E-01	1.30645E+00	4.04497E-08
7.34466E-01	1.30616E+00	4.56762E-08
7.48631E-01	1.30588E+00	5.73064E-08
7.63070E-01	1.30560E+00	7.51223E-08
7.77787E-01	1.30532E+00	9.81886E-08
7.92788E-01	1.30504E+00	1.22278E-07
8.08078E-01	1.30476E+00	1.38832E-07
8.23663E-01	1.30448E+00	1.43732E-07
8.39549E-01	1.30420E+00	1.50726E-07
8.55741E-01	1.30392E+00	2.00786E-07
8.72246E-01	1.30363E+00	2.79390E-07
8.89069E-01	1.30335E+00	3.86335E-07
9.06216E-01	1.30305E+00	4.34792E-07
9.23694E-01	1.30277E+00	4.87391E-07
9.41509E-01	1.30246E+00	5.60162E-07
9.59668E-01	1.30217E+00	7.49369E-07
9.78177E-01	1.30185E+00	1.08198E-06
9.97042E-01	1.30154E+00	1.52851E-06
1.01627E+00	1.30122E+00	2.15364E-06
1.03587E+00	1.30089E+00	2.33000E-06
1.05585E+00	1.30055E+00	2.04429E-06
1.07622E+00	1.30020E+00	1.76609E-06
1.09697E+00	1.29984E+00	1.70900E-06
1.11813E+00	1.29948E+00	1.80866E-06
1.13969E+00	1.29910E+00	2.24330E-06
1.16168E+00	1.29870E+00	3.16177E-06
1.18408E+00	1.29829E+00	5.15251E-06
1.20692E+00	1.29787E+00	8.00677E-06
1.23019E+00	1.29743E+00	1.13169E-05
1.25392E+00	1.29698E+00	1.30171E-05
1.27811E+00	1.29650E+00	1.33375E-05
1.30276E+00	1.29599E+00	1.31723E-05
1.32788E+00	1.29546E+00	1.32000E-05
1.35349E+00	1.29491E+00	1.40043E-05
1.37960E+00	1.29431E+00	1.57585E-05
1.40620E+00	1.29365E+00	2.28869E-05
1.43333E+00	1.29290E+00	1.01737E-04
1.46097E+00	1.29230E+00	2.88632E-04
1.48915E+00	1.29178E+00	5.28659E-04
1.51787E+00	1.29124E+00	5.02587E-04
1.54714E+00	1.29062E+00	4.27116E-04
1.57698E+00	1.28991E+00	3.25113E-04
1.60740E+00	1.28901E+00	2.59410E-04
1.63840E+00	1.28813E+00	2.35842E-04
1.67000E+00	1.28718E+00	2.00162E-04
1.70221E+00	1.28615E+00	1.70685E-04
1.73504E+00	1.28504E+00	1.49527E-04
1.76850E+00	1.28375E+00	1.38725E-04
1.80261E+00	1.28248E+00	1.30382E-04
1.83737E+00	1.28104E+00	1.23000E-04
1.87281E+00	1.27939E+00	1.56453E-04
1.90893E+00	1.27748E+00	4.88735E-04
1.94575E+00	1.27599E+00	1.16465E-03
1.98328E+00	1.27462E+00	1.62574E-03
2.02153E+00	1.27320E+00	1.56339E-03
2.06052E+00	1.27146E+00	1.28836E-03
2.10026E+00	1.26933E+00	8.26460E-04
2.14076E+00	1.26659E+00	4.59263E-04
2.18205E+00	1.26341E+00	2.96285E-04
2.22414E+00	1.26002E+00	2.25004E-04
2.26703E+00	1.25605E+00	2.21324E-04
2.31076E+00	1.25172E+00	3.25536E-04
2.35532E+00	1.24687E+00	4.86439E-04
2.40075E+00	1.24122E+00	5.93097E-04
2.44705E+00	1.23469E+00	6.81003E-04
2.49425E+00	1.22677E+00	7.89017E-04
2.54236E+00	1.21713E+00	8.49488E-04
2.59139E+00	1.20466E+00	9.40740E-04
2.64137E+00	1.18723E+00	1.94166E-03
2.69231E+00	1.16478E+00	4.58211E-03
2.74424E+00	1.13285E+00	1.11083E-02
2.79717E+00	1.08780E+00	2.74474E-02
2.85111E+00	1.02346E+00	7.08075E-02
2.90610E+00	9.62625E-01	1.90406E-01
2.96215E+00	1.00242E+00	3.36656E-01
3.01928E+00	1.07280E+00	4.87479E-01
3.07751E+00	1.32783E+00	6.24110E-01
3.13687E+00	1.55554E+00	4.85772E-01
3.19737E+00	1.64935E+00	2.91863E-01
3.25904E+00	1.61095E+00	1.54136E-01
3.32189E+00	1.55778E+00	8.36852E-02
3.38596E+00	1.51404E+00	4.40622E-02
3.45126E+00	1.47661E+00	2.38255E-02
3.51783E+00	1.44807E+00	1.42235E-02
3.58568E+00	1.42618E+00	9.44774E-03
3.65483E+00	1.40937E+00	7.66333E-03
3.72532E+00	1.39547E+00	6.91620E-03
3.79717E+00	1.38423E+00	6.70954E-03
3.87041E+00	1.37485E+00	7.34151E-03
3.94505E+00	1.36697E+00	8.68508E-03
4.02114E+00	1.36029E+00	9.90104E-03
4.09870E+00	1.35416E+00	1.10951E-02
4.17775E+00	1.34871E+00	1.29144E-02
4.25832E+00	1.34353E+00	1.53598E-02
4.34045E+00	1.33921E+00	1.95646E-02
4.42416E+00	1.33833E+00	2.49185E-02
4.50949E+00	1.34078E+00	2.90321E-02
4.59646E+00	1.34609E+00	2.68426E-02
4.68512E+00	1.34473E+00	1.95120E-02
4.77548E+00	1.34122E+00	1.57984E-02
4.86758E+00	1.33641E+00	1.36552E-02
4.96146E+00	1.33119E+00	1.23514E-02
5.05715E+00	1.32573E+00	1.22845E-02
5.15469E+00	1.32040E+00	1.29866E-02
5.25410E+00	1.31484E+00	1.39141E-02
5.35544E+00	1.30884E+00	1.62850E-02
5.45873E+00	1.30281E+00	1.97304E-02
5.56401E+00	1.29680E+00	2.44696E-02
5.67132E+00	1.29118E+00	3.16414E-02
5.78070E+00	1.28601E+00	4.20790E-02
5.89219E+00	1.28891E+00	5.76323E-02
6.00583E+00	1.29746E+00	6.50939E-02
6.12167E+00	1.30767E+00	6.98196E-02
6.23973E+00	1.31647E+00	6.72603E-02
6.36008E+00	1.32165E+00	6.24396E-02
6.48274E+00	1.32066E+00	5.62657E-02
6.60777E+00	1.31778E+00	5.56490E-02
6.73522E+00	1.31782E+00	5.77576E-02
6.86512E+00	1.31920E+00	5.72244E-02
6.99752E+00	1.31939E+00	5.56015E-02
7.13248E+00	1.31900E+00	5.50000E-02
7.27004E+00	1.31883E+00	5.35414E-02
7.41026E+00	1.31710E+00	5.20000E-02
7.55318E+00	1.31560E+00	5.20000E-02
7.69885E+00	1.31541E+00	5.18828E-02
7.84734E+00	1.31524E+00	4.91280E-02
7.99869E+00	1.31328E+00	4.50198E-02
8.15296E+00	1.30848E+00	4.02843E-02
8.31020E+00	1.30058E+00	3.73257E-02
8.47048E+00	1.29274E+00	3.89352E-02
8.63385E+00	1.28630E+00	3.97188E-02
8.80037E+00	1.27943E+00	4.08903E-02
8.97010E+00	1.27228E+00	4.25020E-02
9.14310E+00	1.26495E+00	4.43097E-02
9.31944E+00	1.25649E+00	4.52286E-02
9.49918E+00	1.24647E+00	4.59066E-02
9.68239E+00	1.23218E+00	4.65666E-02
9.86913E+00	1.21462E+00	4.83019E-02
1.00595E+01	1.19086E+00	5.48424E-02
1.02535E+01	1.16359E+00	6.96978E-02
1.04512E+01	1.13160E+00	9.32920E-02
1.06528E+01	1.10011E+00	1.37595E-01
1.08583E+01	1.08768E+00	2.00186E-01
1.10677E+01	1.10117E+00	2.67271E-01
1.12812E+01	1.13488E+00	3.20601E-01
1.14987E+01	1.17581E+00	3.60136E-01
1.17205E+01	1.22101E+00	3.88879E-01
1.19466E+01	1.26841E+00	4.11012E-01
1.21770E+01	1.31813E+00	4.20999E-01
1.24118E+01	1.36747E+00	4.22000E-01
1.26512E+01	1.41382E+00	4.12853E-01
1.28952E+01	1.45673E+00	3.96722E-01
1.31439E+01	1.49389E+00	3.75386E-01
1.33974E+01	1.52282E+00	3.46730E-01
1.36558E+01	1.54536E+00	3.19518E-01
1.39192E+01	1.56437E+00	2.90323E-01
1.41876E+01	1.57683E+00	2.57837E-01
1.44613E+01	1.57983E+00	2.24989E-01
1.47402E+01	1.57831E+00	1.95422E-01
1.50245E+01	1.57024E+00	1.72958E-01
1.53143E+01	1.56097E+00	1.55320E-01
1.56096E+01	1.55145E+00	1.42784E-01
1.59107E+01	1.54361E+00	1.33909E-01
1.62175E+01	1.53634E+00	1.26977E-01
1.65303E+01	1.53258E+00	1.23989E-01
1.68491E+01	1.53297E+00	1.18461E-01
1.71741E+01	1.53301E+00	1.08969E-01
1.75053E+01	1.52833E+00	9.80570E-02
1.78430E+01	1.52263E+00	8.79162E-02
1.81871E+01	1.51688E+00	7.89233E-02
1.85379E+01	1.50864E+00	7.52561E-02
1.88954E+01	1.50067E+00	7.22775E-02
1.92598E+01	1.49701E+00	7.59203E-02
1.96313E+01	1.49940E+00	7.45354E-02
